"Pedigree","UAV_106DAP","Manual_106DAP"
"RIL86",176.7974854,207
"RIL110",237.9699707,200
"RIL11",186.3342285,114
"RIL83",94.29626465,120
"RIL210",162.0880127,171
"RIL66",130.0811768,120
"RIL14",161.3464355,185
"RIL54",168.4295654,190
"RIL61",191.4550781,206
"RIL159",116.4886475,146
"RIL157",152.8442383,166
"RIL138",144.8486328,195
"RIL112",131.6070557,120
"RIL129",216.9403076,110
"RIL134",140.9240723,168
"RIL55",148.3703613,205
"RIL52",169.4488525,164
"RIL169",133.4350586,230
"RIL188",104.2755127,110
"RIL135",144.4335938,183
"RIL185",133.2794189,165
"RIL123",150.0732422,151
"RIL12",175.2716064,190
"RIL170",166.1804199,257
"RIL167",197.3724365,230
"RIL175",178.9550781,225
"RIL5",222.2961426,225
"RIL81",236.2823486,263
"RIL158",116.2597656,115
"RIL22",194.4335938,207
"RIL248",83.78601074,90
"RIL147",134.3597412,147
"RIL87",93.25561523,90
"RIL184",158.6334229,202
"RIL46",196.395874,208
"RIL7",185.9466553,208
"RIL209",82.4005127,98
"RIL208",149.5025635,165
"RIL234",98.6328125,156
"RIL131",177.7770996,290
"RIL85",146.206665,170
"RIL127",182.2814941,235
"RIL166",125.2410889,154
"RIL91",213.1195068,235
"RIL214",172.946167,201
"RIL187",191.116333,215
"RIL93",188.8366699,192
"RIL63",146.963501,130
"RIL244",170.4437256,196
"RIL197",213.961792,290
"RIL17",163.1774902,212
"RIL130",174.2645264,240
"RIL221",140.3106689,161
"RIL174",154.7058105,190
"RIL119",174.105835,300
"RIL173",199.7528076,300
"RIL21",244.5495605,275
"RIL31",149.597168,179
"RIL181",175.6195068,225
"RIL32",133.3251953,145
"RIL241",171.8200684,96
"RIL96",221.1639404,258
"RIL99",205.9631348,240
"RIL200",220.4925537,245
"RIL239",179.8736572,220
"RIL183",145.5047607,184
"RIL212",146.8109131,190
"RIL196",177.2216797,140
"RIL206",150.958252,163
"RIL220",122.6379395,176
"RIL233",98.11096191,110
"RIL60",186.6333008,205
"RIL235",81.71081543,117
"RIL68",162.1002197,160
"RIL229",102.0507813,120
"RIL168",158.5479736,198
"RIL78",263.192749,270
"RIL218",166.1132813,200
"RIL141",116.9952393,135
"RIL88",81.97937012,95
"RIL199",129.0710449,148
"RIL9",190.6585693,102
"RIL176",278.2318115,305
"RIL33",174.1729736,114
"RIL29",197.5067139,95
"RIL139",119.7509766,126
"RIL64",123.8586426,136
"RIL114",161.4013672,141
"RIL165",198.4954834,171
"RIL23",222.4365234,257
"RIL73",243.1182861,260
"RIL151",163.3453369,161
"RIL201",133.8592529,135
"RIL144",196.963501,216
"RIL190",182.6538086,260
"RIL25",109.3139648,123
"RIL101",217.4957275,217
"RIL126",166.0858154,175
"RIL124",90.27404785,85
"RIL128",121.1975098,165
"RIL106",202.6367188,238
"RIL245",223.8006592,272
"RIL103",258.6761475,312
"RIL120",205.4107666,330
"RIL34",181.1218262,206
"RIL111",168.6157227,160
"RIL211",133.3099365,156
"RIL59",124.1882324,116
"RIL15",161.1572266,165
"RIL80",230.8532715,210
"RIL116",214.8193359,290
"RIL148",136.0870361,131
"RIL40",169.3756104,98
"RIL205",115.9881592,130
"RIL217",226.2084961,246
"RIL152",170.2575684,180
"RIL179",162.387085,141
"RIL162",103.2196045,149
"RIL24",192.9382324,111
"RIL222",98.33984375,123
"RIL203",183.291626,95
"RIL41",185.9771729,167
"RIL42",142.6849365,176
"RIL79",164.9719238,83
"RIL13",142.1691895,145
"RIL72",230.3283691,223
"RIL143",181.8267822,182
"RIL57",166.3970947,162
"RIL207",175.0488281,192
"RIL164",226.1260986,297
"RIL16",199.6459961,233
"RIL172",233.5784912,260
"RIL202",198.3642578,234
"RIL198",161.819458,176
"RIL225",134.2041016,166
"RIL142",112.7044678,135
"RIL133",122.7905273,154
"RIL177",147.0123291,173
"RIL39",126.4160156,140
"RIL238",174.2889404,180
"RIL94",201.5197754,222
"RIL189",195.5322266,177
"RIL243",171.3348389,165
"RIL109",262.2314453,310
"RIL8",191.6534424,222
"RIL102",262.6922607,283
"RIL195",153.0487061,162
"RIL231",167.1356201,216
"RIL149",166.4825439,173
"RIL230",153.604126,202
"RIL49",165.3594971,160
"RIL160",177.0385742,205
"RIL90",146.5240479,120
"RIL35",245.1934814,280
"RIL121",166.8273926,207
"RIL240",175.4333496,225
"RIL132",103.326416,140
"RIL193",170.03479,201
"RIL92",147.8179932,147
"RIL122",178.994751,112
"RIL20",116.1987305,126
"RIL182",172.8515625,286
"RIL150",142.2149658,165
"RIL89",102.5421143,97
"RIL153",133.2672119,129
"RIL10",181.4086914,200
"RIL107",195.5841064,211
"RIL84",139.2333984,161
"RIL125",102.4810791,134
"RIL226",87.29553223,95
"RIL215",114.8834229,148
"RIL232",99.56359863,135
"RIL65",151.7700195,178
"RIL74",203.9672852,215
"RIL145",193.9910889,208
"RIL136",146.6217041,190
